price,timestamp,capital,action
57203.19,2024-09-10 12:00:00,-4720.319,buy
56741.09,2024-09-10 13:00:00,-10394.428,buy
56941.09,2024-09-10 14:00:00,-16088.537,buy
56596.0,2024-09-10 15:00:00,-21748.137000000002,buy
56819.6,2024-09-10 16:00:00,-27430.097,buy
57175.96,2024-09-10 17:00:00,-33147.693,buy
57581.99,2024-09-10 18:00:00,-38905.892,buy
57952.01,2024-09-10 19:00:00,-44701.093,buy
57567.89,2024-09-10 20:00:00,-50457.882,buy
57507.99,2024-09-10 21:00:00,-56208.681,buy
57615.85,2024-09-10 22:00:00,-61970.265999999996,buy
57635.99,2024-09-10 23:00:00,-67733.86499999999,buy
57640.5,2024-09-11 00:00:00,-73497.915,buy
56717.99,2024-09-11 01:00:00,-79169.71399999999,buy
56921.1,2024-09-11 02:00:00,-84861.824,buy
56819.55,2024-09-11 03:00:00,-90543.779,buy
56530.5,2024-09-11 04:00:00,-96196.829,buy
56244.0,2024-09-11 05:00:00,-101821.22899999999,buy
56460.0,2024-09-11 06:00:00,-107467.22899999999,buy
56712.0,2024-09-11 07:00:00,-113138.42899999999,buy
56398.0,2024-09-11 08:00:00,-118778.22899999999,buy
56677.99,2024-09-11 09:00:00,-124446.02799999999,buy
56510.0,2024-09-11 10:00:00,-130097.02799999999,buy
56797.99,2024-09-11 11:00:00,-135776.827,buy
56748.01,2024-09-11 12:00:00,-141451.628,buy
55740.0,2024-09-11 13:00:00,-147025.628,buy
55974.0,2024-09-11 14:00:00,-152623.028,buy
56701.23,2024-09-11 15:00:00,-158293.15099999998,buy
57312.0,2024-09-11 16:00:00,-164024.351,buy
57694.0,2024-09-11 17:00:00,-169793.751,buy
57500.0,2024-09-11 18:00:00,-175543.751,buy
57585.5,2024-09-11 19:00:00,-181302.30099999998,buy
57486.0,2024-09-11 20:00:00,-187050.90099999998,buy
57352.0,2024-09-11 21:00:00,-192786.101,buy
57467.99,2024-09-11 22:00:00,-198532.9,buy
57338.0,2024-09-11 23:00:00,-204266.69999999998,buy
57626.01,2024-09-12 00:00:00,-210029.30099999998,buy
58137.74,2024-09-12 01:00:00,-215843.07499999998,buy
57946.28,2024-09-12 02:00:00,-221637.70299999998,buy
58232.72,2024-09-12 03:00:00,-227460.97499999998,buy
58181.98,2024-09-12 04:00:00,-233279.17299999998,buy
